Designator,Value,Q,Package,Type,Category,Stock,Manufacturer Part No.,Manufacturer,"Vendor 
(Order link)",Unit Cost,Price type,Total cost,Ordered Cost,Ordered Quantity,Min Order Quantity,Description
C1,10u,1,SMD 0805,Capacitor 10uF 0805 SMD,Electronics,30,LMK212ABJ106KGHT,Taiyo Yuden,Mouser,$0.27,Exact,$0.27,$1.36,5,1,"SMD Multilayer Ceramic Capacitor, 10 µF, 25 V, 0805 [2012 Metric], ± 20%, X5R, GRM Series"
"D1, D2, D3, D4, D5",LED,5,SMD 0805,LED RED 0805 SMD,Electronics,32,150080RS75000,Wurth Electronics,Mouser,$0.26,Exact,$1.29,$2.58,10,1,"LED, Yellow, SMD, 0805, 20 mA, 2.1 V, 590 nm"
R6,470,1,SMD 0805,Resistor 470Ω 0805 SMD,Electronics,33,CRCW0805470RFKEAC,Vishay,Mouser,$0.15,Exact,$0.15,$0.76,5,1,"SMD Chip Resistor, 0805 [2012 Metric], 470 ohm, CR Series, 150 V, Thick Film, 125 mW"
"R1, R2, R3, R4, R5, R7",1k,6,SMD 0805,Resistor 1kΩ 0805 SMD,Electronics,18,,,Old Stock,$0.20,Estimated,,,,,"RES, THICK FILM, 1K, 1%, 0.125W, 0805"
R8,10k,1,SMD 0805,Resistor 10kΩ 0805 SMD,Electronics,31,CRCW080510K0FKEAC,Vishay,Mouser,$0.15,Exact,$0.15,$0.76,5,1,
R9,0ohm,1,SMD 0805,Resistor 0Ω 0805 SMD,Electronics,3,,,Old Stock,$0.15,Estimated,$0.15,,,,
R10,100k,1,TH,Resistor 100kΩ TH,Electronics,Yes,,,,,,,,,,100k resistor to patch WeMos battery shield
SW1,SW Push,1,SMD,Button,Electronics,14,,,Old Stock,$3.50,Estimated,$3.50,,,,
U1,WeMos Battery shield,1,TH,WeMos Battery shield,Electronics,,,,AliExpress,$0.79,Exact,$0.79,,,,WeMos Battery Shield
U2,WeMos D1 mini,1,TH,WeMos board,Electronics,Yes,,,Prototype stock,$2.50,Exact,$2.50,,,,WeMos D1 Mini V3.0.0
U3,74HC595,1,SOIC-16,Shift Register,Electronics,34,74HC595S16-13,DiodesZetex,RS Components,$0.20,Exact,$0.20,$5.05,25,25,16-pin shift register
U4,Si7021 breakout,1,TH,Sensor breakout board,Electronics,Yes,,,Prototype stock,$8.95,Exact,$8.95,,,,Si7021 Breakout Board
PCB,,1,,PCB,PCB,,,JLCPCB,JLCPCB,$2.00,Exact,$2.00,$2.00,5,5,
"REF1, REF2, REF3, REF4",2mm M2,4,M2,Nuts,Mechanical,Yes,,,Old Stock,$0.10,Estimated,$0.40,,,,
"REF1, REF2, REF3, REF4","2mm M2, 15mm height",4,M2,Spacers,Mechanical,Yes,,,Old Stock,$0.10,Estimated,$0.40,,,,
,Female pin header,5,,,Connector,,,,Old Stock,$0.05,Estimated,$0.25,,,,
,3.7 1200mAh LiPo,1,,,Battery,,,,12Geeks,$14.40,Exact,$14.40,$14.40,1,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Total BOM items,36,,,BOM Cost breakdown,Percentage,Cost,,,,,,,
,,,Total BOM unique items,18,,,Electronics,50.73%,$17.96,,,,,,,
,,,Total unique electronics items,12,,,Battery,40.67%,$14.40,,,,,,,
,,,Total unique mechanical items,2,,,PCB,5.65%,$2.00,,,,,,,
,,,Total unique connector items,1,,,Mechanical,2.26%,$0.80,,,,,,,
,,,,,,,Connectors,0.71%,$0.25,,,,,,,
,,,Total cost,$35.41,,,,,,,,,,,,
,,,Total vendors,5,,,,,,,,,,,,
