"Component Count:","20"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10u","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Unpolarized capacitor, small symbol",""
"D1, D2, D3, D4, D5, ","5","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode",""
"R6, ","1","470","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, small symbol",""
"R7, R1, R2, R3, R4, R5, ","6","1k","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, small symbol",""
"R8, ","1","10k","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, small symbol",""
"R9, ","1","0ohm","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor, small symbol",""
"SW1, ","1","SW_Push","SW_Push","Button_Switch_SMD:SW_SPST_EVPBF","Push button switch, generic, two pins",""
"U1, ","1","WeMos_Battery_Shield","WeMos_Battery_Shield-wemos_mini","WeMos:Battery_shield","",""
"U2, ","1","WeMos_D1_mini","WeMos_D1_mini-wemos_mini","WeMos:D1_mini_board","",""
"U3, ","1","74HC595","74HC595","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","8-bit serial in/out Shift Register 3-State Outputs",""
"U4, ","1","Si7021_breakout","Si7021_breakout-Si7021_breakout_board","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","",""
